id	prediction
s_1	4
s_2	5
s_3	5
s_4	5
s_5	5
s_6	4
s_7	5
s_8	5
s_9	5
s_10	5
s_11	5
s_12	5
s_13	4
s_14	5
s_15	5
s_16	4
s_17	5
s_18	5
s_19	5
s_20	5
s_21	5
s_22	5
s_23	5
s_24	5
s_25	5
s_26	5
s_27	4
s_28	5
s_29	5
s_30	5
s_31	4
s_32	5
s_33	5
s_34	5
s_35	5
s_36	5
s_37	4
s_38	5
s_39	5
s_40	4
s_41	4
s_42	5
s_43	5
s_44	5
s_45	5
s_46	5
s_47	5
s_48	5
s_49	5
s_50	5
s_51	5
s_52	5
s_53	4
s_54	5
s_55	5
s_56	4
s_57	5
s_58	5
s_59	5
s_60	5
s_61	5
s_62	5
s_63	5
s_64	5
s_65	5
s_66	5
s_67	5
s_68	5
s_69	5
s_70	5
s_71	5
s_72	5
s_73	5
s_74	5
s_75	5
s_76	5
s_77	5
s_78	4
s_79	5
s_80	4
s_81	5
s_82	4
s_83	5
s_84	5
s_85	4
s_86	4
s_87	5
s_88	5
s_89	5
s_90	5
s_91	5
s_92	4
s_93	5
s_94	5
s_95	5
s_96	5
s_97	5
s_98	5
s_99	4
s_100	5
s_101	5
s_102	5
s_103	5
s_104	5
s_105	4
s_106	5
s_107	5
s_108	5
s_109	5
s_110	5
s_111	5
s_112	5
s_113	5
s_114	5
s_115	5
s_116	4
s_117	5
s_118	5
s_119	5
s_120	5
s_121	5
s_122	5
s_123	5
s_124	5
s_125	5
s_126	5
s_127	5
s_128	4
s_129	5
s_130	5
s_131	5
s_132	4
s_133	5
s_134	4
s_135	5
s_136	4
s_137	4
s_138	5
s_139	5
s_140	5
s_141	5
s_142	5
s_143	5
s_144	5
s_145	5
s_146	4
s_147	5
s_148	5
s_149	5
s_150	5
s_151	4
s_152	5
s_153	5
s_154	4
s_155	5
s_156	5
s_157	5
s_158	5
s_159	5
s_160	5
s_161	5
s_162	5
s_163	5
s_164	5
s_165	4
s_166	5
s_167	5
s_168	4
s_169	5
s_170	5
s_171	5
s_172	5
s_173	5
s_174	5
s_175	5
s_176	4
s_177	5
s_178	5
s_179	5
s_180	5
s_181	2
s_182	5
s_183	5
s_184	5
s_185	5
s_186	5
s_187	4
s_188	5
s_189	5
s_190	5
s_191	5
s_192	5
s_193	5
s_194	5
s_195	5
s_196	5
s_197	5
s_198	5
s_199	5
s_200	5
s_201	5
s_202	5
s_203	5
s_204	5
s_205	5
s_206	5
s_207	5
s_208	5
s_209	5
s_210	4
s_211	5
s_212	5
s_213	5
s_214	5
s_215	5
s_216	5
s_217	5
s_218	5
s_219	5
s_220	4
s_221	4
s_222	5
s_223	5
s_224	5
s_225	5
s_226	5
s_227	5
s_228	4
s_229	4
s_230	4
s_231	5
s_232	5
s_233	5
s_234	5
s_235	5
s_236	4
s_237	5
s_238	5
s_239	5
s_240	5
s_241	5
s_242	5
s_243	5
s_244	5
s_245	5
s_246	5
s_247	4
s_248	5
s_249	5
s_250	4
s_251	5
s_252	5
s_253	5
s_254	5
s_255	5
s_256	5
s_257	5
s_258	5
s_259	5
s_260	5
s_261	5
s_262	5
s_263	4
s_264	5
s_265	5
s_266	5
s_267	5
s_268	5
s_269	5
s_270	5
s_271	5
s_272	5
s_273	5
s_274	5
s_275	4
s_276	5
s_277	5
s_278	5
s_279	5
s_280	5
s_281	5
s_282	5
s_283	2
s_284	5
s_285	5
s_286	5
s_287	5
s_288	5
s_289	5
s_290	5
s_291	5
s_292	5
s_293	5
s_294	5
s_295	5
s_296	5
s_297	5
s_298	5
s_299	5
s_300	4
s_301	5
s_302	5
s_303	5
s_304	4
s_305	5
s_306	4
s_307	5
s_308	5
s_309	5
s_310	5
s_311	5
s_312	5
s_313	5
s_314	5
s_315	5
s_316	5
s_317	5
s_318	5
s_319	5
s_320	5
s_321	5
s_322	5
s_323	5
s_324	5
s_325	5
s_326	5
s_327	5
s_328	5
s_329	5
s_330	5
s_331	5
s_332	5
s_333	4
s_334	5
s_335	4
s_336	5
s_337	5
s_338	4
s_339	5
s_340	5
s_341	4
s_342	5
s_343	5
s_344	4
s_345	5
s_346	5
s_347	5
s_348	5
s_349	5
s_350	4
s_351	4
s_352	5
s_353	1
s_354	5
s_355	5
s_356	5
s_357	5
s_358	4
s_359	5
s_360	4
s_361	5
s_362	4
s_363	5
s_364	5
s_365	5
s_366	5
s_367	5
s_368	5
s_369	5
s_370	5
s_371	5
s_372	5
s_373	5
s_374	5
s_375	5
s_376	5
s_377	1
s_378	5
s_379	5
s_380	5
s_381	5
s_382	5
s_383	5
s_384	5
s_385	5
s_386	1
s_387	5
s_388	5
s_389	5
s_390	5
s_391	5
s_392	5
s_393	5
s_394	4
s_395	5
s_396	5
s_397	5
s_398	4
s_399	5
s_400	5
s_401	5
s_402	5
s_403	4
s_404	5
s_405	5
s_406	5
s_407	5
s_408	5
s_409	5
s_410	5
s_411	4
s_412	5
s_413	5
s_414	5
s_415	4
s_416	5
s_417	5
s_418	5
s_419	5
s_420	5
s_421	5
s_422	5
s_423	5
s_424	5
s_425	5
s_426	5
s_427	5
s_428	5
s_429	5
s_430	5
s_431	5
s_432	4
s_433	5
s_434	5
s_435	5
s_436	4
s_437	5
s_438	5
s_439	5
s_440	5
s_441	5
s_442	5
s_443	5
s_444	5
s_445	5
s_446	5
s_447	5
s_448	5
s_449	5
s_450	5
s_451	5
s_452	5
s_453	5
s_454	5
s_455	5
s_456	5
s_457	5
s_458	5
s_459	5
s_460	5
s_461	5
s_462	5
s_463	5
s_464	5
s_465	5
s_466	5
s_467	5
s_468	5
s_469	5
s_470	5
s_471	5
s_472	5
s_473	5
s_474	5
s_475	5
s_476	5
s_477	5
s_478	5
s_479	5
s_480	5
s_481	5
s_482	4
s_483	5
s_484	4
s_485	5
s_486	4
s_487	5
s_488	5
s_489	5
s_490	5
s_491	5
s_492	5
s_493	5
s_494	4
s_495	4
s_496	5
s_497	5
s_498	5
s_499	4
s_500	5
s_501	5
s_502	5
s_503	4
s_504	5
s_505	5
s_506	4
s_507	5
s_508	5
s_509	4
s_510	4
s_511	5
s_512	5
s_513	5
s_514	5
s_515	5
s_516	4
s_517	5
s_518	5
s_519	5
s_520	5
s_521	5
s_522	4
s_523	5
s_524	1
s_525	5
s_526	4
s_527	4
s_528	5
s_529	5
s_530	5
s_531	5
s_532	5
s_533	5
s_534	5
s_535	5
s_536	5
s_537	5
s_538	5
s_539	5
s_540	5
s_541	5
s_542	1
s_543	5
s_544	5
s_545	5
s_546	5
s_547	4
s_548	5
s_549	5
s_550	5
s_551	5
s_552	5
s_553	5
s_554	4
s_555	5
s_556	5
s_557	5
s_558	5
s_559	5
s_560	5
s_561	5
s_562	5
s_563	5
s_564	5
s_565	5
s_566	5
s_567	5
s_568	5
s_569	5
s_570	5
s_571	5
s_572	5
s_573	5
s_574	5
s_575	5
s_576	4
s_577	5
s_578	5
s_579	5
s_580	5
s_581	4
s_582	5
s_583	5
s_584	5
s_585	5
s_586	4
s_587	5
s_588	5
s_589	5
s_590	5
s_591	4
s_592	5
s_593	5
s_594	4
s_595	4
s_596	5
s_597	5
s_598	5
s_599	4
s_600	5
s_601	5
s_602	5
s_603	5
s_604	5
s_605	4
s_606	4
s_607	5
s_608	5
s_609	5
s_610	5
s_611	5
s_612	4
s_613	5
s_614	5
s_615	1
s_616	4
s_617	5
s_618	4
s_619	5
s_620	5
s_621	5
s_622	5
s_623	5
s_624	5
s_625	5
s_626	5
s_627	5
s_628	5
s_629	5
s_630	5
s_631	5
s_632	5
s_633	4
s_634	4
s_635	5
s_636	5
s_637	5
s_638	4
s_639	5
s_640	4
s_641	5
s_642	5
s_643	5
s_644	5
s_645	5
s_646	5
s_647	4
s_648	5
s_649	5
s_650	5
s_651	4
s_652	5
s_653	4
s_654	4
s_655	5
