id	gold
s_1	4
s_2	4
s_3	3
s_4	3
s_5	2
s_6	1
s_7	5
s_8	4
s_9	4
s_10	3
s_11	4
s_12	4
s_13	5
s_14	5
s_15	5
s_16	3
s_17	5
s_18	4
s_19	3
s_20	5
s_21	4
s_22	4
s_23	4
s_24	1
s_25	1
s_26	3
s_27	4
s_28	4
s_29	3
s_30	4
s_31	3
s_32	3
s_33	3
s_34	5
s_35	3
s_36	2
s_37	4
s_38	4
s_39	3
s_40	3
s_41	4
s_42	2
s_43	4
s_44	4
s_45	3
s_46	3
s_47	4
s_48	3
s_49	4
s_50	4
s_51	4
s_52	3
s_53	4
s_54	2
s_55	4
s_56	3
s_57	4
s_58	5
s_59	4
s_60	1
s_61	4
s_62	2
s_63	4
s_64	2
s_65	3
s_66	3
s_67	5
s_68	3
s_69	4
s_70	4
s_71	5
s_72	3
s_73	4
s_74	3
s_75	4
s_76	5
s_77	4
s_78	4
s_79	2
s_80	3
s_81	4
s_82	3
s_83	3
s_84	3
s_85	3
s_86	3
s_87	3
s_88	3
s_89	4
s_90	4
s_91	5
s_92	4
s_93	4
s_94	3
s_95	2
s_96	4
s_97	3
s_98	3
s_99	3
s_100	4
s_101	2
s_102	2
s_103	5
s_104	3
s_105	5
s_106	3
s_107	3
s_108	3
s_109	4
s_110	4
s_111	4
s_112	4
s_113	3
s_114	3
s_115	4
s_116	5
s_117	1
s_118	3
s_119	3
s_120	4
s_121	1
s_122	4
s_123	3
s_124	3
s_125	4
s_126	5
s_127	3
s_128	4
s_129	4
s_130	2
s_131	3
s_132	4
s_133	4
s_134	5
s_135	4
s_136	3
s_137	3
s_138	3
s_139	4
s_140	2
s_141	3
s_142	3
s_143	3
s_144	4
s_145	3
s_146	2
s_147	4
s_148	4
s_149	2
s_150	4
s_151	5
s_152	4
s_153	4
s_154	5
s_155	4
s_156	3
s_157	4
s_158	4
s_159	3
s_160	2
s_161	3
s_162	2
s_163	3
s_164	4
s_165	3
s_166	3
s_167	3
s_168	4
s_169	5
s_170	3
s_171	4
s_172	4
s_173	4
s_174	5
s_175	3
s_176	4
s_177	3
s_178	4
s_179	3
s_180	3
s_181	4
s_182	2
s_183	4
s_184	4
s_185	1
s_186	3
s_187	4
s_188	4
s_189	4
s_190	2
s_191	2
s_192	4
s_193	4
s_194	2
s_195	3
s_196	1
s_197	5
s_198	2
s_199	3
s_200	2
s_201	3
s_202	5
s_203	3
s_204	2
s_205	3
s_206	3
s_207	4
s_208	3
s_209	2
s_210	4
s_211	3
s_212	4
s_213	3
s_214	4
s_215	4
s_216	4
s_217	4
s_218	4
s_219	4
s_220	4
s_221	5
s_222	4
s_223	3
s_224	4
s_225	5
s_226	3
s_227	4
s_228	4
s_229	2
s_230	4
s_231	3
s_232	5
s_233	4
s_234	4
s_235	3
s_236	1
s_237	2
s_238	5
s_239	4
s_240	4
s_241	3
s_242	3
s_243	3
s_244	4
s_245	3
s_246	5
s_247	4
s_248	4
s_249	3
s_250	4
s_251	4
s_252	5
s_253	3
s_254	4
s_255	4
s_256	4
s_257	5
s_258	4
s_259	4
s_260	4
s_261	4
s_262	3
s_263	3
s_264	4
s_265	3
s_266	5
s_267	4
s_268	4
s_269	3
s_270	4
s_271	4
s_272	4
s_273	1
s_274	3
s_275	2
s_276	3
s_277	3
s_278	3
s_279	3
s_280	4
s_281	3
s_282	3
s_283	3
s_284	2
s_285	3
s_286	4
s_287	4
s_288	3
s_289	5
s_290	4
s_291	3
s_292	3
s_293	4
s_294	2
s_295	3
s_296	4
s_297	2
s_298	3
s_299	2
s_300	4
s_301	3
s_302	4
s_303	3
s_304	3
s_305	3
s_306	3
s_307	3
s_308	4
s_309	4
s_310	4
s_311	5
s_312	4
s_313	3
s_314	4
s_315	3
s_316	3
s_317	5
s_318	3
s_319	3
s_320	2
s_321	4
s_322	2
s_323	4
s_324	2
s_325	3
s_326	2
s_327	2
s_328	4
s_329	4
s_330	4
s_331	4
s_332	3
s_333	4
s_334	3
s_335	4
s_336	1
s_337	1
s_338	3
s_339	4
s_340	4
s_341	4
s_342	3
s_343	2
s_344	1
s_345	3
s_346	3
s_347	3
s_348	5
s_349	3
s_350	3
s_351	5
s_352	3
s_353	5
s_354	3
s_355	2
s_356	3
s_357	2
s_358	3
s_359	3
